time,tou
1,1.85
2,1.85
3,1.85
4,1.85
5,1.85
6,1.85
7,1.85
8,1.85
9,1.85
10,1.85
11,1.85
12,1.85
13,1.85
14,1.85
15,1.85
16,1.85
17,1.85
18,1.85
19,1.85
20,1.85
21,1.85
22,1.85
23,1.85
24,1.85
25,1.85
26,1.85
27,1.85
28,1.85
29,1.85
30,1.85
31,1.85
32,1.85
33,1.85
34,1.85
35,1.85
36,1.85
37,1.85
38,1.85
39,1.85
40,1.85
41,1.85
42,1.85
43,1.85
44,1.85
45,1.85
46,1.85
47,1.85
48,1.85
49,1.85
50,1.85
51,1.85
52,1.85
53,1.85
54,1.85
55,1.85
56,1.85
57,1.85
58,1.85
59,1.85
60,1.85
61,1.85
62,1.85
63,1.85
64,1.85
65,1.85
66,1.85
67,1.85
68,1.85
69,1.85
70,1.85
71,1.85
72,1.85
73,1.85
74,1.85
75,1.85
76,1.85
77,1.85
78,1.85
79,1.85
80,1.85
81,1.85
82,1.85
83,1.85
84,1.85
85,1.85
86,1.85
87,1.85
88,1.85
89,1.85
90,1.85
91,1.85
92,1.85
93,1.85
94,1.85
95,1.85
96,1.85
97,1.85
98,1.85
99,1.85
100,1.85
101,1.85
102,1.85
103,1.85
104,1.85
105,1.85
106,1.85
107,1.85
108,1.85
109,4.26
110,4.26
111,4.26
112,4.26
113,4.26
114,4.26
115,4.26
116,4.26
117,4.26
118,4.26
119,4.26
120,4.26
121,4.26
122,4.26
123,4.26
124,4.26
125,4.26
126,4.26
127,4.26
128,4.26
129,4.26
130,4.26
131,4.26
132,4.26
133,4.26
134,4.26
135,4.26
136,4.26
137,4.26
138,4.26
139,4.26
140,4.26
141,4.26
142,4.26
143,4.26
144,4.26
145,4.26
146,4.26
147,4.26
148,4.26
149,4.26
150,4.26
151,4.26
152,4.26
153,4.26
154,4.26
155,4.26
156,4.26
157,4.26
158,4.26
159,4.26
160,4.26
161,4.26
162,4.26
163,4.26
164,4.26
165,4.26
166,4.26
167,4.26
168,4.26
169,4.26
170,4.26
171,4.26
172,4.26
173,4.26
174,4.26
175,4.26
176,4.26
177,4.26
178,4.26
179,4.26
180,4.26
181,4.26
182,4.26
183,4.26
184,4.26
185,4.26
186,4.26
187,4.26
188,4.26
189,4.26
190,4.26
191,4.26
192,6.49
193,6.49
194,6.49
195,6.49
196,6.49
197,6.49
198,6.49
199,6.49
200,6.49
201,6.49
202,6.49
203,6.49
204,6.49
205,6.49
206,6.49
207,6.49
208,6.49
209,6.49
210,6.49
211,6.49
212,6.49
213,6.49
214,6.49
215,6.49
216,6.49
217,6.49
218,6.49
219,6.49
220,6.49
221,6.49
222,6.49
223,6.49
224,6.49
225,6.49
226,6.49
227,6.49
228,6.49
229,6.49
230,6.49
231,6.49
232,6.49
233,6.49
234,6.49
235,6.49
236,6.49
237,6.49
238,6.49
239,6.49
240,6.49
241,6.49
242,6.49
243,6.49
244,6.49
245,6.49
246,6.49
247,6.49
248,6.49
249,6.49
250,6.49
251,6.49
252,6.49
253,6.49
254,6.49
255,6.49
256,6.49
257,6.49
258,6.49
259,6.49
260,6.49
261,6.49
262,6.49
263,6.49
264,6.49
265,6.49
266,6.49
267,6.49
268,6.49
269,6.49
270,6.49
271,6.49
272,6.49
273,6.49
274,6.49
275,6.49
276,6.49
277,6.49
278,6.49
279,6.49
280,6.49
281,6.49
282,6.49
283,6.49
284,6.49
285,6.49
286,6.49
287,6.49
288,6.49
