time,ev_load
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,43.09
17,43.09
18,66.29
19,126.29
20,126.29
21,126.29
22,126.29
23,154.905
24,118.275
25,118.275
26,181.705
27,138.615
28,138.615
29,138.615
30,155.35
31,155.35
32,155.35
33,68.72
34,68.72
35,68.72
36,40.105
37,40.105
38,100.105
39,121.99
40,121.99
41,121.99
42,166.655
43,143.285
44,206.885
45,182.885
46,182.885
47,182.885
48,182.885
49,156.595
50,202.88
51,184.61
52,184.61
53,184.61
54,148.61
55,148.61
56,159.395
57,113.11
58,113.11
59,113.11
60,113.11
61,191.11
62,156.495
63,204.475
64,223.02
65,190.35
66,115.405
67,115.405
68,131.29
69,156.21
70,170.47
71,170.47
72,170.47
73,192.87
74,221.78
75,239.235
76,239.235
77,244.69
78,250.2
79,250.2
80,253.025
81,253.025
82,228.1
83,194.41
84,220.045
85,267.12
86,231.12
87,231.12
88,225.24
89,225.24
90,188.5
91,132.195
92,132.195
93,132.195
94,107.53
95,30.46
96,30.46
97,30.46
98,47.26
99,47.26
100,47.26
101,47.26
102,98.35
103,67.89
104,67.89
105,67.89
106,67.89
107,67.89
108,67.89
109,167.89
110,167.89
111,167.89
112,96.255
113,101.505
114,101.505
115,148.65
116,148.65
117,128.65
118,128.65
119,128.65
120,108.84
121,108.84
122,94.97
123,164.605
124,164.605
125,164.605
126,66.605
127,66.605
128,66.605
129,71.455
130,71.455
131,71.455
132,71.455
133,38.18
134,65.38
135,156.9
136,156.9
137,156.9
138,190.23
139,190.23
140,152.05
141,152.05
142,87.765
143,87.765
144,144.03
145,144.03
146,171.63
147,205.495
148,250.265
149,261.73
150,335.97
151,485.145
152,417.945
153,391.275
154,391.275
155,364.55
156,282.95
157,253.41
158,214.745
159,214.745
160,170.08
161,200.08
162,159.435
163,173.69
164,173.69
165,149.69
166,144.76
167,144.76
168,144.76
169,177.6
170,224.51
171,224.51
172,181.175
173,181.175
174,288.49
175,235.825
176,235.825
177,277.825
178,277.825
179,214.225
180,214.225
181,141.285
182,47.685
183,70.085
184,40.085
185,40.085
186,103.1
187,103.1
188,103.1
189,156.435
190,156.435
191,156.435
192,156.435
193,156.435
194,156.435
195,297.85
196,297.85
197,264.035
198,204.89
199,204.89
200,92.405
201,92.005
202,92.005
203,131.825
204,131.825
205,158.55
206,130.73
207,130.73
208,130.73
209,130.73
210,128.97
211,128.97
212,154.355
213,176.79
214,231.335
215,214.75
216,159.225
217,180.065
218,225.4
219,225.4
220,225.4
221,210.735
222,262.735
223,334.735
224,363.535
225,303.785
226,303.785
227,258.45
228,279.625
229,279.625
230,198.295
231,194.295
232,158.295
233,201.63
234,236.54
235,246.3
236,203.02
237,203.02
238,155.02
239,126.22
240,126.22
241,126.22
242,125.745
243,125.745
244,125.745
245,69.655
246,182.735
247,182.735
248,237.59
249,225.825
250,199.025
251,168.625
252,168.625
253,168.625
254,168.625
255,113.765
256,208.565
257,208.565
258,208.565
259,149.49
260,167.255
261,72.455
262,194.455
263,194.455
264,194.455
265,72.455
266,48.855
267,23.2
268,23.2
269,23.2
270,23.2
271,23.2
272,58.11
273,58.11
274,58.11
275,111.65
276,111.65
277,111.65
278,145.65
279,145.65
280,145.65
281,145.65
282,122.45
283,159.54
284,219.54
285,219.54
286,219.54
287,185.54
288,0
