Id,da_pv,rt_pv
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0.983597,1
65,0.99534,1
66,1.00128,1.03
67,1.08513,1.07
68,1.12349,1.12
69,1.16843,1.19
70,1.22163,1.23
71,1.23846,1.25
72,1.26843,1.29
73,1.36205,1.32
74,1.37513,1.36
75,1.78951,1.77
76,1.80537,1.77
77,3.64284,3.68
78,3.71356,3.79
79,3.95432,4.03
80,4.13565,4.01
81,4.45359,4.32
82,4.6842,4.59
83,4.75654,4.85
84,25.6,26.37
85,28.49,27.92
86,28.906,29.77
87,30.337,30.64
88,34.479,34.13
89,40.312,39.1
90,45.027,43.68
91,46.658,47.12
92,46.566,47.5
93,48.052,49.49
94,53.287,53.82
95,61.889,61.89
96,70.881,68.75
97,76.817,76.05
98,78.821,81.19
99,78.52,77.73
100,78.149,80.49
101,79.306,80.1
102,81.719,80.9
103,83.762,82.09
104,84.782,82.24
105,85.441,86.3
106,87.001,84.39
107,90.986,92.81
108,97.65,94.72
109,105.44,103.33
110,112.51,113.64
111,117.28,114.93
112,119.05,115.48
113,118.98,121.36
114,119.06,120.25
115,120.68,117.06
116,124.52,125.77
117,129.73,127.14
118,134.17,138.2
119,136.55,133.82
120,136.71,135.34
121,135.48,138.19
122,134.81,134.81
123,135.91,139.99
124,138.3,134.15
125,141.07,141.07
126,143.2,144.63
127,144.32,142.88
128,145.75,145.75
129,148.79,144.33
130,153.44,158.04
131,158.89,160.48
132,163.35,166.62
133,165.25,163.6
134,164.94,159.99
135,163.66,158.75
136,162.46,167.33
137,162.16,167.02
138,162.39,162.39
139,162.17,167.04
140,161.44,159.83
141,160.5,158.9
142,159.61,158.01
143,159.38,157.79
144,159.65,162.84
145,159.72,158.12
146,159.6,154.81
147,159.26,160.85
148,158.54,156.95
149,157.83,160.99
150,156.97,160.11
151,155.4,153.85
152,153.3,154.83
153,150.79,152.3
154,148.03,150.99
155,145.76,141.39
156,144.09,144.09
157,142.41,146.68
158,140.5,141.91
159,138,136.62
160,134.96,136.31
161,132.45,133.77
162,130.92,134.85
163,129.82,132.42
164,128.4,128.4
165,125.51,124.25
166,120.71,120.71
167,115.44,113.13
168,111.29,113.52
169,109.14,111.32
170,109.17,112.45
171,110.16,111.26
172,110.56,107.24
173,110,110
174,108.49,107.41
175,106.29,104.16
176,104.11,107.23
177,102.11,105.17
178,100.29,98.28
179,99.11,99.11
180,98.389,97.41
181,97.311,94.39
182,95.108,93.21
183,90.881,89.06
184,84.618,82.93
185,77.866,76.31
186,72.339,74.51
187,69.169,71.24
188,68.579,69.26
189,69.206,71.28
190,69.235,70.62
191,67.912,67.91
192,65.419,65.42
193,62.86,64.75
194,61.706,59.85
195,62.133,61.51
196,62.94,62.94
197,62.519,61.27
198,59.369,60.56
199,53.331,51.73
200,46.058,45.14
201,39.586,39.19
202,35.276,35.28
203,33.292,34.29
204,32.166,32.81
205,29.987,30.89
206,25.91,25.13
207,20.196,19.79
208,14.134,14.28
209,9.4436,9.63
210,6.8337,6.77
211,5.8657,5.98
212,5.624,5.46
213,4.9834,5.08
214,3.4463,3.55
215,1.5503,1.6
216,0.864732,0.89
217,0.56879,0.56
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
