time,ev_load
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
21,60.285
22,73.485
23,73.485
24,73.485
25,78.82
26,78.82
27,115.985
28,118.9
29,118.9
30,118.9
31,133.565
32,133.565
33,112.315
34,106.98
35,120.615
36,128.925
37,126.09
38,103.725
39,146.935
40,143.725
41,158.295
42,114.705
43,106.705
44,106.705
45,128.765
46,110.51
47,112.11
48,44.51
49,36.2
50,77.655
51,66.2
52,47.345
53,46.8
54,46.8
55,4.8
56,9.945
57,9.945
58,9.945
59,9.945
60,6.745
61,6.745
62,35.145
63,31.845
64,49.3
65,52.9
66,99.19
67,99.19
68,106.825
69,76.825
70,76.825
71,76.825
72,76.825
73,76.825
74,76.825
75,59.37
76,57.525
77,20.435
78,20.435
79,12.8
80,39.2
81,42
82,52.365
83,52.365
84,52.365
85,85.505
86,85.505
87,83.43
88,83.43
89,97.43
90,111.83
91,111.83
92,121.645
93,132.055
94,221.54
95,198.265
96,217.65
97,262.13
98,235.885
99,171.085
100,198.685
101,198.685
102,212.685
103,214.2
104,164.97
105,137.37
106,105.66
107,131.03
108,142.065
109,122.685
110,125.19
111,130.11
112,125.98
113,159.87
114,145.3
115,119.75
116,190.475
117,217.905
118,223.505
119,223.505
120,210.805
121,211.16
122,211.16
123,151.16
124,89.38
125,77.38
126,83.625
127,50.9
128,58.23
129,84.475
130,102.61
131,87.885
132,87.885
133,82.285
134,100.285
135,100.285
136,100.285
137,56.95
138,56.95
139,56.95
140,56.95
141,56.95
142,55.105
143,42.4
144,29.2
145,29.2
146,29.2
147,32.475
148,32.475
149,14.475
150,14.475
151,14.475
152,20.475
153,20.475
154,20.475
155,20.475
156,20.475
157,20.475
158,38.43
159,21.23
160,47.23
161,59.69
162,80.965
163,80.965
164,80.965
165,80.965
166,80.965
167,98.965
168,112.165
169,143.8
170,143.8
171,168.18
172,168.18
173,146.905
174,116.445
175,90.445
176,90.445
177,90.445
178,90.445
179,90.445
180,18.14
181,34.505
182,34.505
183,21.305
184,32.76
185,54.185
186,66.73
187,66.73
188,61.79
189,76.1
190,83.025
191,92.72
192,54.925
193,59.36
194,85.595
195,101.37
196,101.37
197,94.825
198,94.825
199,94.825
200,94.825
201,82.825
202,88.7
203,84.085
204,100.105
205,170.905
206,248.505
207,257.35
208,245.345
209,315.82
210,287.02
211,257.64
212,257.64
213,237.46
214,299.46
215,277.14
216,231.765
217,191.46
218,298.07
219,333.215
220,440.645
221,339.29
222,471.31
223,471.31
224,549.785
225,600.02
226,541.945
227,423.645
228,454.045
229,267.895
230,276.7
231,286.7
232,170.27
233,161.87
234,199.435
235,240.995
236,261.57
237,202.725
238,183.38
239,268.44
240,304.505
241,294.905
242,225.365
243,198.965
244,207.145
245,165.715
246,199.325
247,216.955
248,195.665
249,139.49
250,139.49
251,147.255
252,147.255
253,130.175
254,115.775
255,90.93
256,59.91
257,7.765
258,23.035
259,38.31
260,38.31
261,38.31
262,38.31
263,60.71
264,83.375
265,83.375
266,83.375
267,83.375
268,109.765
269,109.225
270,93.95
271,93.95
272,93.95
273,71.28
274,71.28
275,99.645
276,99.645
277,124.98
278,102.58
279,120.58
280,105.85
281,71.7
282,104.7
283,104.7
284,104.7
285,360.7
286,634
287,934
288,0
